,Type,Air Temperature,Process Temperature,Rotational Speed,Torque,Tool Wear,Machine Failure
2251,H,299.1,308.3,1424,43.4,16,0
2252,H,299.1,308.3,1451,42.8,21,0
2253,L,299.2,308.4,1386,54.1,26,0
2254,L,299.1,308.3,1325,46.9,28,0
2255,L,299.1,308.3,1559,33.7,30,0
2256,L,299.1,308.3,1489,38.1,32,0
2257,L,299.1,308.3,1892,25.2,34,0
2258,L,299.1,308.2,1319,60.3,36,0
2259,L,299.1,308.3,1431,52.3,38,0
2260,H,299.1,308.3,1521,36.5,40,0
2261,M,299.1,308.2,1435,45.2,45,0
2262,L,299.1,308.3,1533,42.4,48,0
2263,M,299.2,308.4,1529,43.0,50,0
2264,M,299.2,308.4,1415,43.5,53,0
2265,M,299.2,308.4,1330,51.2,56,0
2266,L,299.2,308.5,1381,60.6,59,0
2267,L,299.2,308.5,1370,52.4,61,0
2268,L,299.2,308.5,1438,46.6,63,0
2269,L,299.3,308.6,1314,48.2,65,0
2270,L,299.3,308.6,1437,48.1,67,0
2271,L,299.2,308.5,1821,26.1,69,0
2272,M,299.3,308.6,1448,52.1,71,0
2273,L,299.3,308.5,1589,32.7,74,0
2274,L,299.3,308.6,1520,33.7,76,0
2275,L,299.3,308.6,1605,37.0,78,0
2276,L,299.3,308.7,1393,54.2,80,0
2277,H,299.3,308.7,1408,44.4,82,0
2278,M,299.3,308.7,1459,35.6,87,0
2279,L,299.4,308.7,1525,39.0,90,0
2280,L,299.4,308.8,1390,57.0,92,0
2281,L,299.3,308.7,1536,38.9,94,0
2282,L,299.4,308.7,1459,47.6,96,0
2283,L,299.2,308.5,1387,51.1,98,0
2284,L,299.2,308.5,1378,53.4,100,0
2285,L,299.4,308.7,1381,56.7,102,0
2286,M,299.4,308.7,1289,60.5,104,0
2287,L,299.4,308.6,1746,26.8,107,0
2288,M,299.4,308.6,1541,39.1,109,0
2289,L,299.4,308.7,1504,37.8,112,0
2290,M,299.5,308.7,1321,51.9,114,0
2291,M,299.5,308.8,1886,20.9,117,0
2292,L,299.6,308.9,1422,53.2,120,0
2293,L,299.5,308.9,1520,38.3,122,0
2294,L,299.4,308.8,1627,32.6,124,0
2295,L,299.4,308.7,1512,37.2,126,0
2296,L,299.4,308.7,1553,42.7,128,0
2297,L,299.3,308.7,1802,26.0,130,0
2298,L,299.3,308.6,1482,37.6,132,0
2299,L,299.4,308.7,1446,62.9,134,1
2300,L,299.3,308.6,1371,50.5,136,0
2301,M,299.2,308.6,1586,35.7,138,0
2302,L,299.2,308.5,1515,39.8,141,0
2303,L,299.2,308.5,1374,53.6,143,0
2304,L,299.1,308.5,1455,39.8,145,0
2305,H,299.2,308.5,1342,47.5,147,0
2306,L,299.1,308.6,1260,57.8,152,0
2307,H,299.0,308.5,1623,33.5,154,0
2308,L,299.1,308.5,1371,55.5,159,0
2309,L,299.1,308.6,1611,31.4,161,0
2310,M,299.0,308.4,1535,47.5,163,0
2311,M,299.1,308.6,1491,38.5,166,0
2312,M,299.1,308.6,1441,36.2,169,0
2313,M,299.1,308.8,1725,26.6,172,0
2314,L,299.2,308.9,1368,47.2,175,0
2315,L,299.2,308.9,1526,37.9,177,0
2316,L,299.2,308.8,1542,39.2,179,0
2317,L,299.2,308.8,1605,31.1,181,0
2318,L,299.2,308.8,1405,51.4,183,0
2319,M,299.2,308.8,1700,33.5,185,0
2320,H,299.2,308.8,1440,39.1,188,0
2321,M,299.2,308.8,1314,52.5,193,0
2322,L,299.2,308.7,1514,41.9,196,0
2323,M,299.2,308.7,1401,47.0,198,0
2324,L,299.3,308.8,1636,29.9,201,0
2325,L,299.3,308.8,1603,33.9,203,0
2326,M,299.4,308.7,1487,52.6,205,0
2327,M,299.3,308.7,1420,50.3,208,0
2328,L,299.3,308.7,1579,36.3,211,0
2329,L,299.3,308.7,1484,40.5,213,0
2330,M,299.3,308.7,1390,49.3,215,0
2331,L,299.3,308.6,1384,53.6,218,1
2332,L,299.2,308.5,1378,50.4,220,1
2333,L,299.2,308.5,1445,45.2,222,0
2334,L,299.2,308.4,1445,43.5,224,0
2335,L,299.2,308.4,1509,39.4,0,0
2336,L,299.2,308.4,1434,46.8,2,0
2337,L,299.2,308.4,1877,23.9,4,0
2338,L,299.3,308.3,1651,28.0,6,0
2339,L,299.2,308.2,1466,41.3,8,0
2340,L,299.1,308.1,1479,40.7,10,0
2341,L,299.1,308.2,1409,46.4,12,0
2342,M,299.2,308.2,1674,28.2,14,0
2343,L,299.1,308.3,1305,61.4,17,0
2344,M,299.2,308.3,1755,26.4,19,0
2345,L,299.2,308.4,1475,38.7,22,0
2346,L,299.2,308.4,1402,47.7,24,0
2347,L,299.2,308.3,1410,43.0,26,0
2348,L,299.2,308.4,1436,41.8,28,0
2349,M,299.3,308.5,1386,42.2,30,0
2350,L,299.3,308.6,1744,26.4,33,0
2351,L,299.2,308.4,1393,48.4,35,0
2352,M,299.3,308.5,1422,45.4,37,0
2353,L,299.2,308.4,1841,22.8,40,0
2354,L,299.3,308.6,1433,37.7,42,0
2355,M,299.3,308.5,1305,60.6,44,0
2356,H,299.3,308.6,1498,39.5,47,0
2357,L,299.3,308.5,1772,26.1,52,0
2358,M,299.2,308.4,1381,42.5,54,0
2359,L,299.3,308.5,1413,38.5,57,0
2360,H,299.2,308.4,1388,53.2,59,0
2361,M,299.2,308.6,1631,35.4,64,0
2362,H,299.3,308.6,1520,41.4,67,0
2363,L,299.3,308.5,1510,45.4,72,0
2364,L,299.2,308.5,1366,49.7,74,0
2365,L,299.4,308.5,1845,22.9,76,0
2366,L,299.3,308.5,1485,44.7,78,0
2367,M,299.3,308.5,1496,39.4,80,0
2368,M,299.3,308.4,1468,42.2,83,0
2369,M,299.2,308.4,1856,22.7,86,0
2370,L,299.2,308.4,1620,34.1,89,0
2371,L,299.3,308.5,1409,44.8,91,0
2372,M,299.3,308.5,1404,49.4,93,0
2373,L,299.2,308.4,1350,51.3,96,0
2374,M,299.2,308.4,1538,38.0,98,0
2375,M,299.2,308.4,1476,32.7,101,0
2376,M,299.2,308.3,1364,51.8,104,0
2377,M,299.2,308.3,1582,45.5,107,0
2378,L,299.1,308.2,1348,56.1,110,0
2379,H,299.1,308.2,1450,46.1,112,0
2380,L,299.0,308.1,1242,60.9,117,0
2381,L,299.1,308.2,1493,34.9,119,0
2382,L,299.1,308.3,1601,31.4,121,0
2383,L,299.1,308.2,1568,33.3,123,0
2384,M,299.1,308.3,1506,38.0,125,0
2385,L,299.1,308.3,1524,34.1,128,0
2386,L,299.1,308.4,1543,37.9,130,0
2387,M,299.2,308.5,1474,47.2,132,0
2388,M,299.2,308.5,1526,37.3,135,0
2389,L,299.2,308.5,1867,27.0,138,0
2390,L,299.2,308.5,1487,41.2,140,0
2391,L,299.2,308.4,1580,32.6,142,0
2392,L,299.2,308.5,1340,50.0,144,0
2393,L,299.2,308.5,1544,41.6,146,0
2394,L,299.2,308.5,1488,40.3,148,0
2395,M,299.2,308.5,1742,28.9,150,0
2396,M,299.1,308.5,1592,34.2,153,0
2397,L,299.2,308.6,1582,38.8,156,0
2398,L,299.2,308.5,1490,43.2,158,0
2399,M,299.2,308.5,1594,35.8,160,0
2400,H,299.2,308.6,1462,55.0,163,0
2401,M,299.2,308.6,1367,47.6,168,0
2402,L,299.2,308.7,1325,51.0,171,0
2403,H,299.2,308.7,1448,51.4,173,0
2404,M,299.1,308.7,2008,20.3,178,0
2405,L,299.1,308.7,1498,38.9,181,0
2406,L,299.1,308.6,1437,41.6,183,0
2407,M,299.1,308.6,1499,45.1,185,0
2408,L,299.0,308.4,1356,52.6,188,0
2409,L,299.1,308.5,1539,46.8,190,0
2410,L,299.1,308.5,1689,32.1,192,0
2411,L,299.0,308.5,1559,38.1,194,0
2412,L,299.1,308.6,1408,46.7,196,0
2413,L,299.0,308.5,1886,23.0,198,0
2414,L,299.1,308.5,1415,43.4,0,0
2415,M,299.1,308.5,1587,35.6,2,0
2416,L,299.0,308.4,1571,38.6,5,0
2417,L,298.9,308.3,1576,36.6,7,0
2418,L,298.9,308.3,1660,34.4,9,0
2419,M,298.9,308.2,1328,49.2,11,0
2420,H,298.8,308.2,1450,44.7,14,0
2421,L,298.9,308.2,2384,15.0,19,0
2422,L,298.8,308.2,1443,53.4,21,0
2423,M,298.9,308.2,2022,20.0,23,0
2424,L,298.9,308.2,1828,23.8,26,0
2425,L,298.8,308.1,1472,53.5,28,0
2426,M,298.9,308.2,1372,63.6,30,1
2427,L,298.9,308.3,1855,23.8,33,0
2428,M,299.0,308.3,1377,47.2,35,0
2429,L,298.9,308.3,1432,48.9,38,0
2430,M,298.9,308.2,1335,47.8,40,0
2431,M,298.9,308.2,1411,51.3,43,0
2432,L,298.9,308.2,1510,43.5,46,0
2433,L,299.0,308.3,1441,44.0,48,0
2434,M,299.0,308.2,1358,42.7,50,0
2435,L,298.9,308.2,1686,30.4,53,0
2436,H,299.0,308.2,1662,30.4,55,0
2437,L,299.1,308.3,1426,40.1,60,0
2438,M,299.1,308.4,1330,53.6,62,0
2439,L,299.1,308.4,1693,31.6,65,0
2440,L,299.1,308.4,1426,47.9,67,0
2441,L,299.1,308.5,1676,31.0,69,0
2442,M,299.1,308.4,1332,51.7,71,0
2443,L,299.1,308.5,1647,35.0,74,0
2444,L,299.2,308.6,1267,68.2,76,1
2445,H,299.2,308.7,1375,55.1,78,0
2446,L,299.3,308.6,1422,48.9,83,0
2447,L,299.3,308.7,1408,48.7,85,0
2448,L,299.4,308.9,1440,42.5,87,0
2449,L,299.3,308.8,1772,25.2,89,0
2450,L,299.2,308.7,1492,37.8,91,0
2451,L,299.2,308.7,1650,30.5,93,0
2452,M,299.1,308.6,2329,14.6,95,0
2453,L,299.0,308.6,1648,30.8,98,0
2454,L,299.0,308.6,1653,31.7,100,0
2455,L,299.0,308.6,1946,22.3,102,0
2456,L,299.1,308.6,1555,36.6,104,0
2457,L,299.0,308.6,1661,32.2,106,0
2458,L,299.0,308.6,1434,45.9,108,0
2459,L,299.0,308.6,1297,54.2,110,0
2460,L,299.0,308.6,1466,46.4,112,0
2461,M,298.9,308.6,1517,39.8,114,0
2462,L,298.9,308.5,1742,34.5,117,0
2463,L,298.9,308.5,1580,39.1,119,0
2464,M,298.9,308.5,1534,42.9,121,0
2465,L,298.9,308.6,1481,40.7,124,0
2466,L,299.0,308.6,1429,37.7,126,0
2467,M,298.9,308.6,1574,33.5,128,0
2468,M,298.9,308.6,1524,40.4,131,0
2469,L,299.0,308.7,1507,37.5,134,0
2470,L,298.9,308.5,1467,44.7,136,0
2471,L,298.9,308.4,1301,51.1,138,0
2472,L,298.9,308.5,1429,55.1,140,0
2473,M,298.9,308.5,1555,37.6,142,0
2474,L,298.9,308.5,1503,40.6,145,0
2475,L,298.9,308.5,1459,43.1,147,0
2476,H,298.9,308.4,1449,42.4,149,0
2477,L,298.9,308.5,1387,57.3,154,0
2478,M,298.9,308.5,1456,50.0,156,0
2479,L,299.0,308.5,1604,34.7,159,0
2480,L,299.0,308.6,1734,32.4,161,0
2481,L,299.0,308.6,1378,47.8,163,0
2482,L,298.9,308.7,1504,41.8,165,0
2483,M,298.9,308.7,1402,49.8,167,0
2484,H,298.8,308.6,1524,37.7,170,0
2485,L,298.8,308.6,1593,35.5,175,0
2486,M,298.9,308.7,1772,28.4,177,0
2487,H,298.9,308.6,1623,31.0,180,0
2488,L,298.9,308.7,1356,50.7,185,0
2489,H,298.9,308.7,1500,41.6,187,0
2490,H,299.1,308.8,1566,46.6,192,0
2491,L,299.1,308.9,1445,43.4,197,0
2492,H,299.0,308.8,1382,58.5,199,0
2493,M,299.0,308.8,1418,45.7,204,0
2494,L,299.1,308.8,1329,53.6,207,1
2495,M,299.1,308.8,1491,41.0,209,0
2496,M,299.2,308.9,1573,37.4,212,0
2497,M,299.2,308.9,1521,42.3,215,0
2498,L,299.1,308.9,1467,47.2,218,0
2499,M,299.1,308.9,1325,48.4,220,0
2500,L,299.1,308.9,1617,32.3,223,0
2501,M,299.1,308.9,1476,42.7,225,0
2502,L,299.2,309.0,1515,48.9,228,1
2503,L,299.2,309.0,1408,47.2,0,0
2504,L,299.2,309.1,1468,45.6,2,0
2505,L,299.2,309.1,1387,48.7,4,0
2506,M,299.2,309.1,1503,34.7,6,0
2507,H,299.2,309.1,1410,47.1,9,0
2508,L,299.0,308.9,1615,30.6,14,0
2509,L,299.0,308.9,1511,35.9,16,0
2510,L,299.1,309.0,1405,53.8,18,0
2511,M,299.0,308.9,1526,41.1,20,0
2512,L,298.9,308.8,1530,38.3,23,0
2513,L,299.0,308.7,1583,32.5,25,0
2514,L,298.9,308.6,2069,18.7,27,0
2515,L,298.8,308.5,1490,35.0,29,0
2516,L,298.8,308.5,1736,29.0,31,0
2517,L,298.8,308.5,1395,44.4,33,0
2518,M,298.9,308.6,1425,49.6,35,0
2519,L,298.8,308.6,1631,32.4,38,0
2520,L,298.8,308.6,1535,41.2,40,0
2521,L,298.8,308.6,1584,34.4,42,0
2522,M,298.8,308.7,1543,38.2,44,0
2523,L,298.8,308.7,1635,35.2,47,0
2524,M,298.8,308.7,1446,45.5,49,0
2525,M,298.8,308.6,1598,35.1,52,0
2526,L,298.8,308.6,1501,35.0,55,0
2527,L,298.8,308.5,1450,50.8,57,0
2528,L,298.8,308.6,1730,25.9,59,0
2529,M,298.8,308.6,1571,33.7,61,0
2530,L,298.9,308.7,1438,51.7,64,0
2531,M,298.8,308.5,1510,38.7,66,0
2532,L,298.9,308.7,1389,44.9,69,0
2533,L,298.8,308.7,1490,33.6,71,0
2534,L,298.9,308.7,1729,26.6,73,0
2535,L,299.0,308.8,1495,38.4,75,0
2536,L,298.9,308.8,1281,53.9,77,0
2537,H,298.9,308.7,1353,48.1,79,0
2538,L,299.1,308.8,1429,50.1,84,0
2539,L,299.1,308.8,1413,42.1,86,0
2540,L,299.1,308.8,1502,38.3,88,0
2541,H,299.1,308.8,1553,32.6,90,0
2542,H,299.2,308.9,1712,26.4,95,0
2543,L,299.3,309.0,1786,23.5,100,0
2544,L,299.2,309.0,1951,21.4,102,0
2545,M,299.2,309.0,1541,36.3,104,0
2546,L,299.2,309.1,1605,34.3,107,0
2547,L,299.2,309.1,1578,38.1,109,0
2548,M,299.3,309.2,1440,37.5,111,0
2549,L,299.4,309.2,1489,42.3,114,0
2550,L,299.4,309.3,1366,48.4,116,0
2551,L,299.3,309.2,1541,37.2,118,0
2552,H,299.3,309.1,1552,40.7,120,0
2553,L,299.3,309.1,1473,40.3,125,0
2554,L,299.3,309.1,1531,37.9,127,0
2555,L,299.3,309.2,1511,37.2,129,0
2556,M,299.3,309.1,1449,47.9,131,0
2557,M,299.4,309.1,1440,50.0,134,0
2558,M,299.2,309.0,1881,23.9,137,0
2559,L,299.3,309.0,1447,50.4,140,0
2560,M,299.4,309.1,1326,62.0,142,0
2561,L,299.4,309.2,1607,31.7,145,0
2562,L,299.3,309.1,1551,39.1,147,0
2563,L,299.3,309.1,1496,37.2,149,0
2564,L,299.3,309.1,1493,38.0,151,0
2565,L,299.4,309.1,1304,50.5,153,0
2566,M,299.3,309.0,1420,41.6,155,0
2567,L,299.4,309.1,1766,24.6,158,0
2568,L,299.6,309.2,1450,43.1,160,0
2569,H,299.5,309.2,1872,22.6,162,0
2570,L,299.6,309.2,1713,26.5,167,0
2571,M,299.5,309.2,1497,40.9,169,0
2572,M,299.4,309.1,1352,44.7,172,0
2573,L,299.5,309.2,1499,41.5,175,0
2574,L,299.5,309.3,1972,19.3,177,0
2575,L,299.5,309.3,1422,49.2,179,0
2576,L,299.5,309.3,1523,41.5,181,0
2577,L,299.5,309.4,1563,41.5,183,0
2578,L,299.4,309.3,1391,46.6,185,0
2579,L,299.3,309.1,1795,24.7,187,0
2580,L,299.3,309.1,1293,53.7,189,0
2581,L,299.2,309.1,1345,60.7,191,1
2582,L,299.2,309.0,1615,33.7,193,0
2583,L,299.2,308.9,1342,50.8,195,0
2584,L,299.1,308.8,1502,46.7,197,0
2585,M,299.0,308.7,1620,35.4,199,0
2586,L,299.0,308.7,1537,42.8,202,0
2587,L,299.0,308.7,2248,16.8,204,0
2588,L,299.0,308.7,1706,28.6,206,0
2589,L,299.0,308.7,2250,16.6,208,0
2590,L,299.0,308.7,1396,48.6,0,0
2591,L,298.9,308.6,1522,46.4,2,0
2592,L,298.9,308.6,1539,45.4,4,0
2593,H,298.9,308.5,1415,54.0,6,0
2594,L,298.8,308.5,1446,37.0,11,0
2595,M,298.8,308.6,1486,41.1,13,0
2596,L,299.0,308.7,1426,38.6,16,0
2597,L,299.0,308.7,1449,38.9,18,0
2598,L,299.1,308.8,1320,67.5,20,1
2599,M,299.2,308.9,1447,39.6,22,0
2600,L,299.3,309.0,1422,47.3,25,0
2601,L,299.3,309.1,1399,52.1,27,0
2602,L,299.4,309.2,1427,41.5,29,0
2603,M,299.3,309.2,1334,46.3,31,0
2604,M,299.3,309.1,1385,45.6,34,0
2605,L,299.4,309.2,1552,37.4,37,0
2606,H,299.4,309.3,1534,37.5,39,0
2607,L,299.4,309.3,1448,48.6,44,0
2608,L,299.5,309.3,1409,44.7,46,0
2609,L,299.4,309.2,1621,34.5,48,0
2610,H,299.4,309.1,1547,40.9,50,0
2611,L,299.4,309.1,1957,22.1,55,0
2612,L,299.4,309.1,2421,14.2,57,0
2613,M,299.3,309.1,1571,38.3,59,0
2614,L,299.3,309.1,1634,36.8,62,0
2615,L,299.3,309.0,1516,38.7,64,0
2616,L,299.4,309.1,1207,66.5,66,0
2617,L,299.4,309.1,1670,35.9,68,0
2618,M,299.4,309.1,1461,48.6,70,0
2619,L,299.4,309.2,1569,40.8,73,0
2620,L,299.4,309.2,1556,35.7,75,0
2621,M,299.5,309.3,1506,41.5,77,0
2622,M,299.6,309.4,1642,30.3,80,0
2623,M,299.6,309.4,1283,62.1,83,0
2624,H,299.7,309.5,1375,46.8,86,0
2625,L,299.7,309.4,1399,39.9,91,0
2626,L,299.7,309.4,1650,29.8,93,0
2627,M,299.8,309.6,1346,53.2,95,0
2628,H,299.9,309.6,1410,51.2,98,0
2629,L,300.0,309.7,1586,37.8,103,0
2630,L,300.0,309.8,1372,39.6,105,0
2631,H,300.0,309.7,1529,42.4,107,0
2632,M,300.0,309.7,1652,28.6,112,0
2633,L,300.1,309.8,1532,39.8,115,0
2634,L,300.0,309.7,1554,32.0,117,0
2635,H,299.9,309.6,1462,51.0,119,0
2636,L,299.9,309.6,1254,61.3,124,0
2637,L,299.9,309.6,1294,49.7,126,0
2638,L,299.8,309.5,1739,27.5,128,0
2639,M,299.8,309.4,1412,47.8,130,0
2640,M,299.9,309.5,1372,56.2,133,0
2641,H,299.8,309.5,1420,46.7,136,0
2642,L,299.8,309.5,1542,40.3,141,0
2643,M,299.8,309.4,1401,48.1,143,0
2644,L,299.8,309.4,1510,42.5,146,0
2645,H,299.9,309.5,1547,38.5,148,0
2646,M,299.8,309.5,1453,43.2,153,0
2647,L,299.8,309.4,1408,45.6,156,0
2648,L,299.8,309.4,1436,51.6,158,0
2649,M,299.9,309.5,1582,38.2,160,0
2650,L,299.9,309.6,1280,59.3,163,0
2651,L,299.9,309.5,2008,20.4,165,0
2652,L,299.9,309.5,1772,23.5,167,0
2653,L,299.9,309.5,1779,26.1,169,0
2654,L,299.9,309.5,1567,35.5,171,0
2655,M,299.8,309.4,1751,27.0,173,0
2656,L,299.9,309.5,1349,51.3,176,0
2657,M,300.0,309.5,1425,40.8,178,0
2658,L,300.0,309.4,1395,44.5,181,0
2659,H,299.8,309.3,1595,32.1,183,0
2660,L,299.8,309.3,1291,56.4,188,0
2661,M,299.9,309.4,1509,42.8,190,0
2662,M,299.9,309.4,1483,38.1,193,0
2663,L,299.9,309.3,1620,31.1,196,0
2664,M,299.9,309.4,1487,42.2,198,0
2665,L,299.8,309.4,2256,15.9,201,0
2666,H,299.7,309.2,1691,27.7,203,0
2667,M,299.8,309.3,1663,35.2,208,0
2668,M,299.8,309.3,1640,31.1,211,0
2669,H,299.7,309.3,1494,37.8,214,0
2670,L,299.8,309.4,1467,46.2,219,0
2671,M,299.7,309.3,1399,41.9,221,1
2672,L,299.7,309.3,1445,42.6,0,0
2673,L,299.8,309.4,1480,40.9,2,0
2674,L,299.7,309.3,1546,37.2,4,0
2675,L,299.7,309.3,1574,35.8,6,0
2676,L,299.7,309.3,1592,34.2,8,0
2677,L,299.8,309.5,1495,39.6,10,0
2678,L,299.8,309.6,1447,43.1,12,0
2679,L,299.8,309.5,1476,44.4,14,0
2680,L,299.8,309.5,1641,27.1,16,0
2681,L,299.8,309.5,1545,32.2,18,0
2682,M,299.9,309.6,1364,44.4,20,0
2683,L,299.8,309.5,1590,28.5,23,0
2684,L,299.8,309.4,1460,37.4,25,0
2685,L,299.8,309.4,1609,32.5,27,0
2686,L,299.8,309.4,1633,27.5,29,0
2687,L,299.9,309.4,1348,52.8,31,0
2688,L,299.9,309.4,1322,53.9,33,0
2689,L,300.0,309.5,1641,30.1,35,0
2690,L,300.0,309.5,1728,26.0,37,0
2691,L,300.0,309.6,1431,47.7,39,0
2692,L,300.1,309.7,1641,30.4,41,0
2693,M,300.1,309.6,1622,36.1,43,0
2694,M,300.1,309.6,1625,38.0,46,0
2695,L,300.0,309.5,1869,22.7,49,0
2696,L,300.0,309.6,1452,46.0,51,0
2697,L,300.0,309.6,1618,28.7,53,0
2698,L,300.0,309.4,2010,20.0,55,0
2699,L,299.9,309.4,1363,60.9,57,0
2700,L,299.9,309.3,1473,40.4,59,0
2701,L,299.9,309.2,1333,50.8,61,0
2702,L,299.8,309.2,1760,25.9,63,0
2703,M,299.8,309.2,1372,58.2,65,0
2704,M,299.7,309.2,1608,34.4,68,0
2705,L,299.7,309.2,1326,64.8,71,0
2706,M,299.6,309.1,1560,37.1,73,0
2707,M,299.6,309.0,1539,36.1,76,0
2708,L,299.6,309.1,2266,15.3,79,0
2709,L,299.6,309.1,1641,35.8,81,0
2710,L,299.6,309.1,1574,39.2,83,0
2711,L,299.6,309.1,1407,50.6,85,0
2712,H,299.7,309.2,1302,55.5,87,0
2713,M,299.6,309.2,1651,30.8,92,0
2714,M,299.6,309.1,1366,55.2,95,0
2715,M,299.5,309.0,1701,28.6,98,0
2716,L,299.5,309.0,1498,44.6,101,0
2717,M,299.5,309.1,1422,45.3,103,0
2718,L,299.5,309.1,1357,47.3,106,0
2719,L,299.5,309.2,1690,29.2,108,0
2720,L,299.6,309.2,1559,39.1,110,0
2721,M,299.6,309.3,1553,32.4,112,0
2722,L,299.6,309.3,1558,34.8,115,0
2723,L,299.7,309.4,1362,51.9,117,0
2724,M,299.8,309.3,1470,42.7,119,0
2725,L,299.8,309.4,1555,34.8,122,0
2726,M,299.8,309.4,1423,42.9,124,0
2727,L,299.7,309.3,1434,38.5,127,0
2728,L,299.7,309.3,1779,25.5,129,0
2729,L,299.7,309.3,1417,54.6,131,0
2730,L,299.6,309.2,1425,45.9,133,0
2731,M,299.7,309.2,1597,32.9,135,0
2732,L,299.7,309.2,1346,57.4,138,0
2733,L,299.7,309.2,1422,40.4,140,0
2734,H,299.7,309.2,1572,32.8,142,0
2735,L,299.7,309.2,1412,45.4,147,0
2736,M,299.7,309.1,1576,36.4,149,0
2737,M,299.7,309.1,1508,41.2,152,0
2738,M,299.8,309.1,1496,44.4,155,0
2739,L,299.8,309.2,1572,35.4,158,0
2740,L,299.6,309.0,1525,42.8,160,0
2741,L,299.6,309.0,1378,51.9,162,0
2742,L,299.6,309.1,1369,51.4,164,0
2743,L,299.6,309.1,1476,45.3,166,0
2744,L,299.7,309.2,1620,30.0,168,0
2745,M,299.7,309.1,1603,38.5,170,0
2746,L,299.7,309.2,1411,46.1,173,0
2747,L,299.7,309.2,1616,31.6,175,0
2748,L,299.7,309.2,1631,35.1,177,0
2749,M,299.7,309.2,1685,28.9,179,1
2750,H,299.7,309.2,1456,40.6,182,0
2751,L,299.7,309.1,1417,50.1,187,0
2752,M,299.7,309.1,1851,24.7,189,0
2753,L,299.7,309.1,1715,27.8,192,0
2754,H,299.6,309.1,1630,32.3,194,0
2755,L,299.7,309.2,1478,38.8,199,0
2756,L,299.7,309.2,1781,29.6,201,0
2757,L,299.8,309.2,1439,36.1,203,0
2758,M,299.7,309.2,1412,45.3,205,0
2759,L,299.7,309.1,1483,41.1,208,0
2760,L,299.8,309.2,1400,42.6,210,0
2761,L,299.8,309.3,1299,65.1,212,1
2762,L,299.8,309.2,1479,44.4,214,0
2763,L,299.8,309.2,1491,47.5,216,0
2764,M,299.9,309.3,1389,52.8,0,0
2765,M,299.9,309.4,1399,54.8,3,0
2766,M,299.9,309.4,1889,26.0,6,0
2767,L,300.0,309.5,1925,21.9,9,0
2768,L,300.0,309.5,1675,30.2,11,0
2769,M,300.0,309.6,1477,38.1,13,0
2770,L,300.0,309.6,1364,45.9,16,0
2771,L,299.9,309.5,1451,39.4,18,0
2772,L,299.9,309.4,1467,41.2,20,0
2773,L,299.9,309.4,1858,22.5,22,0
2774,L,300.1,309.4,1559,39.7,24,0
2775,L,300.1,309.4,1560,47.7,26,0
2776,L,300.1,309.4,1453,47.6,28,0
2777,L,300.1,309.4,1464,41.7,30,0
2778,L,300.0,309.4,1308,50.2,32,0
2779,L,300.1,309.5,1353,50.9,34,0
2780,M,300.2,309.6,1556,35.8,36,0
2781,L,300.2,309.5,2183,17.8,39,0
2782,M,300.2,309.6,1491,41.8,41,0
2783,M,300.2,309.6,1528,35.1,44,0
2784,L,300.2,309.6,1430,52.7,47,0
2785,L,300.2,309.5,1495,32.6,49,0
2786,M,300.2,309.5,1630,28.3,51,0
2787,M,300.3,309.6,1524,38.4,54,0
2788,L,300.3,309.6,1326,52.4,57,0
2789,H,300.3,309.5,1438,44.0,59,0
2790,L,300.4,309.6,1356,45.9,64,0
2791,H,300.4,309.6,1416,43.3,66,0
2792,L,300.4,309.7,1584,32.6,71,0
2793,L,300.3,309.6,1597,31.8,73,0
2794,L,300.4,309.6,1553,43.9,75,0
2795,M,300.3,309.5,1405,49.4,77,0
2796,L,300.2,309.5,1539,35.3,80,0
2797,M,300.3,309.6,1398,53.7,82,0
2798,L,300.3,309.6,1568,39.6,85,0
2799,L,300.3,309.6,1404,44.6,87,0
2800,M,300.2,309.5,1500,45.7,89,0
2801,M,300.2,309.5,1642,28.8,92,0
2802,M,300.3,309.6,1509,46.6,95,0
2803,L,300.2,309.5,1343,50.2,98,0
2804,L,300.1,309.5,1450,40.1,100,0
2805,L,300.0,309.4,1460,43.5,102,0
2806,L,300.0,309.3,1364,41.2,104,0
2807,M,299.9,309.3,1452,41.9,106,0
2808,L,299.9,309.3,1471,41.8,109,0
2809,L,299.9,309.2,1598,34.6,111,0
2810,L,299.8,309.1,1772,24.8,113,0
2811,L,299.9,309.2,1761,25.6,115,0
2812,M,300.0,309.3,1413,40.7,117,0
2813,L,300.0,309.3,1887,22.6,120,0
2814,L,300.0,309.3,1395,56.5,122,0
2815,M,300.1,309.4,1569,31.6,124,0
2816,L,300.1,309.4,1434,47.3,127,0
2817,L,300.2,309.5,1417,41.1,129,0
2818,L,300.2,309.5,1729,28.4,131,0
2819,L,300.2,309.5,1356,51.1,133,0
2820,L,300.2,309.5,1436,48.8,135,0
2821,M,300.3,309.6,1419,42.5,137,0
2822,L,300.3,309.6,1593,38.1,140,0
2823,M,300.3,309.5,1320,62.2,142,0
2824,M,300.3,309.5,1448,42.4,145,0
2825,L,300.3,309.4,1470,33.5,148,0
2826,M,300.3,309.4,1612,33.1,150,0
2827,L,300.4,309.4,1412,51.6,153,0
2828,M,300.4,309.4,1875,23.9,155,0
2829,L,300.3,309.3,1612,36.0,158,0
2830,M,300.4,309.3,1411,41.6,160,0
2831,M,300.3,309.2,1490,47.9,163,0
